stream_size,percent,real,estimate,error
10000,10,1000,988,1.14858
10000,20,2000,2007,0.361797
10000,30,3000,2796,6.78443
10000,40,4000,3934,1.64307
10000,50,5000,4807,3.85754
10000,60,6000,5477,8.71234
10000,70,7000,6384,8.79071
10000,80,8000,7434,7.06328
10000,90,9000,8252,8.30542
10000,100,10000,8716,12.8308
10000,10,1000,1005,0.51419
10000,20,2000,1980,0.986697
10000,30,3000,2663,11.2157
10000,40,4000,3661,8.45272
10000,50,5000,4453,10.927
10000,60,6000,5048,15.8552
10000,70,7000,5953,14.9519
10000,80,8000,7068,11.6498
10000,90,9000,7920,11.9979
10000,100,10000,8750,12.4937
10000,10,1000,1042,4.28426
10000,20,2000,1838,8.08244
10000,30,3000,2960,1.30013
10000,40,4000,4029,0.742208
10000,50,5000,5155,3.11959
10000,60,6000,6340,5.67298
10000,70,7000,6945,0.773582
10000,80,8000,7763,2.95585
10000,90,9000,8648,3.90776
10000,100,10000,9481,5.1823
10000,10,1000,902,9.76844
10000,20,2000,1841,7.94785
10000,30,3000,2634,12.187
10000,40,4000,3350,16.2446
10000,50,5000,3926,21.4784
10000,60,6000,4676,22.0615
10000,70,7000,6155,12.0609
10000,80,8000,6932,13.3447
10000,90,9000,7715,14.2696
10000,100,10000,8577,14.2296
10000,10,1000,1020,2.04622
10000,20,2000,2128,6.44681
10000,30,3000,2985,0.481348
10000,40,4000,3847,3.8197
10000,50,5000,5039,0.792553
10000,60,6000,5762,3.95138
10000,70,7000,6341,9.40239
10000,80,8000,7232,9.59317
10000,90,9000,7891,12.3182
10000,100,10000,8134,18.6528
50000,10,5000,4891,2.17133
50000,20,10000,10633,6.33121
50000,30,15000,17038,13.5932
50000,40,20000,21389,6.94716
50000,50,25000,25385,1.54249
50000,60,30000,31175,3.91767
50000,70,35000,34274,2.07234
50000,80,40000,38549,3.62515
50000,90,45000,45142,0.316648
50000,100,50000,48610,2.77898
50000,10,5000,5178,3.57744
50000,20,10000,9317,6.82715
50000,30,15000,14707,1.95088
50000,40,20000,20255,1.27626
50000,50,25000,24762,0.949278
50000,60,30000,27644,7.85147
50000,70,35000,32077,8.34872
50000,80,40000,36677,8.30532
50000,90,45000,42118,6.40279
50000,100,50000,49361,1.27755
50000,10,5000,4776,4.46416
50000,20,10000,9808,1.9186
50000,30,15000,14532,3.11367
50000,40,20000,19216,3.91897
50000,50,25000,23821,4.71334
50000,60,30000,27983,6.72279
50000,70,35000,33842,3.3066
50000,80,40000,38551,3.62245
50000,90,45000,43137,4.13898
50000,100,50000,47190,5.61906
50000,10,5000,4886,2.27579
50000,20,10000,9484,5.1582
50000,30,15000,14743,1.71081
50000,40,20000,18499,7.50232
50000,50,25000,21994,12.0232
50000,60,30000,27562,8.12489
50000,70,35000,30890,11.7424
50000,80,40000,36176,9.55759
50000,90,45000,39590,12.0205
50000,100,50000,43465,13.0684
50000,10,5000,4841,3.16454
50000,20,10000,8771,12.2808
50000,30,15000,12979,13.4667
50000,40,20000,18666,6.66771
50000,50,25000,24619,1.52076
50000,60,30000,29162,2.79263
50000,70,35000,33785,3.4711
50000,80,40000,40460,1.15061
50000,90,45000,46904,4.23261
50000,100,50000,52259,4.51957
100000,10,10000,9136,8.63982
100000,20,20000,20479,2.39768
100000,30,30000,28363,5.45503
100000,40,40000,40382,0.956127
100000,50,50000,49810,0.379934
100000,60,60000,57064,4.89208
100000,70,70000,67311,3.84128
100000,80,80000,75929,5.08818
100000,90,90000,87118,3.20221
100000,100,100000,95993,4.0062
100000,10,10000,10343,3.4398
100000,20,20000,19441,2.79141
100000,30,30000,29950,0.164035
100000,40,40000,42100,5.25107
100000,50,50000,52338,4.6765
100000,60,60000,62359,3.93232
100000,70,70000,69529,0.672309
100000,80,80000,79992,0.00936301
100000,90,90000,91177,1.30868
100000,100,100000,99654,0.345886
100000,10,10000,9104,8.95637
100000,20,20000,19287,3.56485
100000,30,30000,29333,2.22244
100000,40,40000,38581,3.54623
100000,50,50000,47323,5.35234
100000,60,60000,55148,8.08604
100000,70,70000,63214,9.69337
100000,80,80000,69324,13.3447
100000,90,90000,80208,10.8798
100000,100,100000,85538,14.4615
100000,10,10000,8734,12.6587
100000,20,20000,18330,8.3498
100000,30,30000,28385,5.38096
100000,40,40000,37214,6.96398
100000,50,50000,49799,0.401152
100000,60,60000,59634,0.608455
100000,70,70000,68689,1.87176
100000,80,80000,74386,7.01676
100000,90,90000,82951,7.83194
100000,100,100000,89302,10.6978
100000,10,10000,10079,0.791241
100000,20,20000,19803,0.984418
100000,30,30000,31296,4.32106
100000,40,40000,45590,13.976
100000,50,50000,55248,10.4974
100000,60,60000,63623,6.03932
100000,70,70000,71197,1.71118
100000,80,80000,82488,3.11101
100000,90,90000,94219,4.6887
100000,100,100000,103099,3.09994
